SET_ID,pIC50,RDKIT_SMILES,trainingset_class,activity_label
305128,7.653647025549362,CC(C)(O)COc1cc(-c2ccc(N3CCC(C)(N=C(O)c4ccccc4Cl)CC3)nc2)c2c(C#N)cnn2c1,test,1
305546,6.7544873321858505,CCOc1cc(-c2ccc(N3CCC(COCCN4CCOCC4)(NC(=O)c4cccc(Cl)n4)CC3)nc2)c2c(C#N)cnn2c1,test,1
305174,6.694648630553376,CC(C)(O)COc1cc(-c2ccc(N3CC(OCc4ccccc4)C3)nc2)c2c(C#N)cnn2c1,test,1
296778,5.5215778122599195,CCOc1cc(-c2ccc(N3CCC4(CC3)CN4C(=O)c3ccc(F)cc3)nc2)c2c(C#N)cnn2c1,training,0
305499,6.142064735280571,CCOc1cc(-c2ccc(N3CCC(N=C(O)OC(C)(C)C)C(OCCN(C)C)C3)nc2)c2c(C#N)cnn2c1,test,1
305029,7.679853713888947,CCOc1cc(-c2ccc(N3CC(N)C(Oc4cnc(OC)c(F)c4)C3)nc2)c2c(C#N)cnn2c1,test,1
305463,5.7675121336470125,CCOc1cc(-c2ccc(N3CCC(O)CC3)nc2)c2c(C#N)cnn2c1,test,0
305470,7.454692883534176,CC1(N=C(O)c2ncccc2Cl)CCN(c2ccc(-c3cc(O)cn4ncc(C#N)c34)cn2)CC1,test,1
305580,7.3187587626244115,CCOc1cc(-c2ccc(N3CCC(CN4CCN(CC)CC4)(N=C(O)c4cc(Cl)cnc4C)CC3)nc2)c2c(C#N)cnn2c1,test,1
305116,7.1649438982798825,CC(C)(O)COc1cc(-c2ccc(N3CCC(C)(N=C(O)c4ncc(F)cc4F)CC3)nc2)c2c(C#N)cnn2c1,test,1
305135,6.886056647693162,Cc1nc(C(O)=NC2(C)CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)CC2)co1,test,1
305424,7.301899454376611,CN1CC(F)(COc2cc(-c3ccc(N4CCC(C)(N=C(O)c5ccccc5)CC4)nc3)c3c(C#N)cnn3c2)C1,test,1
305386,7.430626090384954,CN1CCOC(COc2cc(-c3ccc(N4CCC(Oc5ccccn5)CC4)nc3)c3c(C#N)cnn3c2)C1,test,1
305418,7.453457336521868,COCCOc1cc(-c2ccc(N3CCC(C)(N=C(O)c4ncc(F)cc4Cl)CC3)nc2)c2c(C#N)cnn2c1,test,1
305325,7.920818753952375,CCOc1cc(-c2ccc(N3CCC(CO)(N=C(O)c4c(F)cccc4F)CC3)nc2)c2c(C#N)cnn2c1,test,1
305645,5.292174431667768,CN(C)C(=O)Oc1cc(-c2ccc(N3CCC(C)(N=C(O)OC(C)(C)C)CC3)nc2)c2c(C#N)cnn2c1,training,0
305732,6.673664139071248,Cc1cccc(CC2(O)CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)CC2)n1,test,1
305165,6.320572103387883,CC(C)(O)COc1cc(-c2ccc(N3CC(Oc4cccc(C(F)(F)F)c4)C3)nc2)c2c(C#N)cnn2c1,test,1
305519,5.820448208834812,CCOc1cc(-c2ccc(N3CCC(C)(N=C(O)C4(N=C(O)OC(C)(C)C)CC4)CC3)nc2)c2c(C#N)cnn2c1,training,0
305216,6.910094888560603,CC(C)(O)COc1cc(-c2ccc(N3CCC(C)(N=C(O)Cc4ccccc4)C3)nc2)c2c(C#N)cnn2c1,test,1
305579,7.866461091629782,CCOc1cc(-c2ccc(N3CCC(CN4CCN(CC)CC4)(N=C(O)c4ncc(F)cc4Cl)CC3)nc2)c2c(C#N)cnn2c1,test,1
305001,5.726998727936263,N#Cc1cnn2cc(OCCO)cc(-c3ccc(N4CCCC(O)C4)nc3)c12,training,0
305146,7.3400837999301505,CC(C)(O)COc1cc(-c2ccc(N3CC(Oc4cccc(Cl)c4)C3)nc2)c2c(C#N)cnn2c1,test,1
305736,7.136677139879544,CC(C)(O)COc1cc(-c2ccc(N3CCC(O)(Cc4cncc(F)c4)CC3)nc2)c2c(C#N)cnn2c1,test,1
296714,6.396855627379818,COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC5CN(C)C5)cn5ncc(C#N)c45)cn2)C3)cn1,test,1
